air_temp,dni,ghi,period_end,period
13,0,0,2022-01-01T00:05:00+00:00,PT5M
13,0,0,2022-01-01T00:10:00+00:00,PT5M
13,0,0,2022-01-01T00:15:00+00:00,PT5M
12,0,0,2022-01-01T00:20:00+00:00,PT5M
12,0,0,2022-01-01T00:25:00+00:00,PT5M
12,0,0,2022-01-01T00:30:00+00:00,PT5M
12,0,0,2022-01-01T00:35:00+00:00,PT5M
12,0,0,2022-01-01T00:40:00+00:00,PT5M
12,0,0,2022-01-01T00:45:00+00:00,PT5M
12,0,0,2022-01-01T00:50:00+00:00,PT5M
12,0,0,2022-01-01T00:55:00+00:00,PT5M
12,0,0,2022-01-01T01:00:00+00:00,PT5M
12,0,0,2022-01-01T01:05:00+00:00,PT5M
12,0,0,2022-01-01T01:10:00+00:00,PT5M
12,0,0,2022-01-01T01:15:00+00:00,PT5M
12,0,0,2022-01-01T01:20:00+00:00,PT5M
12,0,0,2022-01-01T01:25:00+00:00,PT5M
12,0,0,2022-01-01T01:30:00+00:00,PT5M
12,0,0,2022-01-01T01:35:00+00:00,PT5M
12,0,0,2022-01-01T01:40:00+00:00,PT5M
12,0,0,2022-01-01T01:45:00+00:00,PT5M
12,0,0,2022-01-01T01:50:00+00:00,PT5M
12,0,0,2022-01-01T01:55:00+00:00,PT5M
12,0,0,2022-01-01T02:00:00+00:00,PT5M
12,0,0,2022-01-01T02:05:00+00:00,PT5M
12,0,0,2022-01-01T02:10:00+00:00,PT5M
12,0,0,2022-01-01T02:15:00+00:00,PT5M
12,0,0,2022-01-01T02:20:00+00:00,PT5M
12,0,0,2022-01-01T02:25:00+00:00,PT5M
12,0,0,2022-01-01T02:30:00+00:00,PT5M
12,0,0,2022-01-01T02:35:00+00:00,PT5M
12,0,0,2022-01-01T02:40:00+00:00,PT5M
12,0,0,2022-01-01T02:45:00+00:00,PT5M
12,0,0,2022-01-01T02:50:00+00:00,PT5M
12,0,0,2022-01-01T02:55:00+00:00,PT5M
12,0,0,2022-01-01T03:00:00+00:00,PT5M
12,0,0,2022-01-01T03:05:00+00:00,PT5M
12,0,0,2022-01-01T03:10:00+00:00,PT5M
12,0,0,2022-01-01T03:15:00+00:00,PT5M
12,0,0,2022-01-01T03:20:00+00:00,PT5M
12,0,0,2022-01-01T03:25:00+00:00,PT5M
12,0,0,2022-01-01T03:30:00+00:00,PT5M
12,0,0,2022-01-01T03:35:00+00:00,PT5M
12,0,0,2022-01-01T03:40:00+00:00,PT5M
12,0,0,2022-01-01T03:45:00+00:00,PT5M
12,0,0,2022-01-01T03:50:00+00:00,PT5M
12,0,0,2022-01-01T03:55:00+00:00,PT5M
12,0,0,2022-01-01T04:00:00+00:00,PT5M
12,0,0,2022-01-01T04:05:00+00:00,PT5M
12,0,0,2022-01-01T04:10:00+00:00,PT5M
12,0,0,2022-01-01T04:15:00+00:00,PT5M
12,0,0,2022-01-01T04:20:00+00:00,PT5M
12,0,0,2022-01-01T04:25:00+00:00,PT5M
12,0,0,2022-01-01T04:30:00+00:00,PT5M
12,0,0,2022-01-01T04:35:00+00:00,PT5M
12,0,0,2022-01-01T04:40:00+00:00,PT5M
12,0,0,2022-01-01T04:45:00+00:00,PT5M
12,0,0,2022-01-01T04:50:00+00:00,PT5M
12,0,0,2022-01-01T04:55:00+00:00,PT5M
12,0,0,2022-01-01T05:00:00+00:00,PT5M
12,0,0,2022-01-01T05:05:00+00:00,PT5M
12,0,0,2022-01-01T05:10:00+00:00,PT5M
12,0,0,2022-01-01T05:15:00+00:00,PT5M
12,0,0,2022-01-01T05:20:00+00:00,PT5M
12,0,0,2022-01-01T05:25:00+00:00,PT5M
12,0,0,2022-01-01T05:30:00+00:00,PT5M
12,0,0,2022-01-01T05:35:00+00:00,PT5M
12,0,0,2022-01-01T05:40:00+00:00,PT5M
12,0,0,2022-01-01T05:45:00+00:00,PT5M
12,0,0,2022-01-01T05:50:00+00:00,PT5M
12,0,0,2022-01-01T05:55:00+00:00,PT5M
12,0,0,2022-01-01T06:00:00+00:00,PT5M
12,0,0,2022-01-01T06:05:00+00:00,PT5M
12,0,0,2022-01-01T06:10:00+00:00,PT5M
12,0,0,2022-01-01T06:15:00+00:00,PT5M
12,0,0,2022-01-01T06:20:00+00:00,PT5M
12,0,0,2022-01-01T06:25:00+00:00,PT5M
12,0,0,2022-01-01T06:30:00+00:00,PT5M
12,0,0,2022-01-01T06:35:00+00:00,PT5M
12,0,0,2022-01-01T06:40:00+00:00,PT5M
12,0,0,2022-01-01T06:45:00+00:00,PT5M
12,0,0,2022-01-01T06:50:00+00:00,PT5M
12,0,0,2022-01-01T06:55:00+00:00,PT5M
12,0,0,2022-01-01T07:00:00+00:00,PT5M
12,0,0,2022-01-01T07:05:00+00:00,PT5M
12,0,0,2022-01-01T07:10:00+00:00,PT5M
12,0,0,2022-01-01T07:15:00+00:00,PT5M
12,0,0,2022-01-01T07:20:00+00:00,PT5M
12,0,0,2022-01-01T07:25:00+00:00,PT5M
12,0,0,2022-01-01T07:30:00+00:00,PT5M
12,0,0,2022-01-01T07:35:00+00:00,PT5M
12,0,0,2022-01-01T07:40:00+00:00,PT5M
12,0,0,2022-01-01T07:45:00+00:00,PT5M
12,0,0,2022-01-01T07:50:00+00:00,PT5M
12,0,0,2022-01-01T07:55:00+00:00,PT5M
12,0,0,2022-01-01T08:00:00+00:00,PT5M
12,0,0,2022-01-01T08:05:00+00:00,PT5M
12,0,0,2022-01-01T08:10:00+00:00,PT5M
12,0,0,2022-01-01T08:15:00+00:00,PT5M
12,0,0,2022-01-01T08:20:00+00:00,PT5M
12,0,1,2022-01-01T08:25:00+00:00,PT5M
12,0,3,2022-01-01T08:30:00+00:00,PT5M
12,0,9,2022-01-01T08:35:00+00:00,PT5M
12,0,13,2022-01-01T08:40:00+00:00,PT5M
12,0,19,2022-01-01T08:45:00+00:00,PT5M
12,0,25,2022-01-01T08:50:00+00:00,PT5M
12,0,32,2022-01-01T08:55:00+00:00,PT5M
12,0,41,2022-01-01T09:00:00+00:00,PT5M
12,75,50,2022-01-01T09:05:00+00:00,PT5M
12,222,62,2022-01-01T09:10:00+00:00,PT5M
12,241,69,2022-01-01T09:15:00+00:00,PT5M
12,258,76,2022-01-01T09:20:00+00:00,PT5M
12,274,83,2022-01-01T09:25:00+00:00,PT5M
12,289,89,2022-01-01T09:30:00+00:00,PT5M
12,303,96,2022-01-01T09:35:00+00:00,PT5M
12,118,88,2022-01-01T09:40:00+00:00,PT5M
12,64,88,2022-01-01T09:45:00+00:00,PT5M
12,15,88,2022-01-01T09:50:00+00:00,PT5M
12,0,90,2022-01-01T09:55:00+00:00,PT5M
13,0,92,2022-01-01T10:00:00+00:00,PT5M
13,0,94,2022-01-01T10:05:00+00:00,PT5M
13,38,107,2022-01-01T10:10:00+00:00,PT5M
13,145,122,2022-01-01T10:15:00+00:00,PT5M
13,271,139,2022-01-01T10:20:00+00:00,PT5M
13,400,155,2022-01-01T10:25:00+00:00,PT5M
13,406,160,2022-01-01T10:30:00+00:00,PT5M
13,413,165,2022-01-01T10:35:00+00:00,PT5M
13,419,169,2022-01-01T10:40:00+00:00,PT5M
13,425,174,2022-01-01T10:45:00+00:00,PT5M
13,431,178,2022-01-01T10:50:00+00:00,PT5M
13,436,182,2022-01-01T10:55:00+00:00,PT5M
13,440,185,2022-01-01T11:00:00+00:00,PT5M
13,444,189,2022-01-01T11:05:00+00:00,PT5M
14,448,192,2022-01-01T11:10:00+00:00,PT5M
14,451,195,2022-01-01T11:15:00+00:00,PT5M
14,454,197,2022-01-01T11:20:00+00:00,PT5M
14,456,200,2022-01-01T11:25:00+00:00,PT5M
14,458,202,2022-01-01T11:30:00+00:00,PT5M
14,465,204,2022-01-01T11:35:00+00:00,PT5M
14,476,207,2022-01-01T11:40:00+00:00,PT5M
14,488,209,2022-01-01T11:45:00+00:00,PT5M
14,499,212,2022-01-01T11:50:00+00:00,PT5M
14,194,176,2022-01-01T11:55:00+00:00,PT5M
14,0,147,2022-01-01T12:00:00+00:00,PT5M
14,0,120,2022-01-01T12:05:00+00:00,PT5M
14,0,106,2022-01-01T12:10:00+00:00,PT5M
14,0,93,2022-01-01T12:15:00+00:00,PT5M
14,0,81,2022-01-01T12:20:00+00:00,PT5M
14,0,89,2022-01-01T12:25:00+00:00,PT5M
14,0,99,2022-01-01T12:30:00+00:00,PT5M
14,0,109,2022-01-01T12:35:00+00:00,PT5M
14,0,112,2022-01-01T12:40:00+00:00,PT5M
14,0,113,2022-01-01T12:45:00+00:00,PT5M
14,0,113,2022-01-01T12:50:00+00:00,PT5M
14,0,113,2022-01-01T12:55:00+00:00,PT5M
14,0,111,2022-01-01T13:00:00+00:00,PT5M
14,0,110,2022-01-01T13:05:00+00:00,PT5M
14,0,119,2022-01-01T13:10:00+00:00,PT5M
14,0,129,2022-01-01T13:15:00+00:00,PT5M
14,80,140,2022-01-01T13:20:00+00:00,PT5M
14,35,131,2022-01-01T13:25:00+00:00,PT5M
14,0,120,2022-01-01T13:30:00+00:00,PT5M
14,0,109,2022-01-01T13:35:00+00:00,PT5M
14,0,94,2022-01-01T13:40:00+00:00,PT5M
14,0,79,2022-01-01T13:45:00+00:00,PT5M
14,0,65,2022-01-01T13:50:00+00:00,PT5M
14,0,74,2022-01-01T13:55:00+00:00,PT5M
14,0,86,2022-01-01T14:00:00+00:00,PT5M
14,0,99,2022-01-01T14:05:00+00:00,PT5M
14,14,98,2022-01-01T14:10:00+00:00,PT5M
14,22,95,2022-01-01T14:15:00+00:00,PT5M
14,30,91,2022-01-01T14:20:00+00:00,PT5M
14,0,79,2022-01-01T14:25:00+00:00,PT5M
14,0,67,2022-01-01T14:30:00+00:00,PT5M
14,0,55,2022-01-01T14:35:00+00:00,PT5M
14,0,52,2022-01-01T14:40:00+00:00,PT5M
14,0,50,2022-01-01T14:45:00+00:00,PT5M
14,0,48,2022-01-01T14:50:00+00:00,PT5M
14,0,46,2022-01-01T14:55:00+00:00,PT5M
14,0,44,2022-01-01T15:00:00+00:00,PT5M
14,0,42,2022-01-01T15:05:00+00:00,PT5M
14,0,39,2022-01-01T15:10:00+00:00,PT5M
14,0,35,2022-01-01T15:15:00+00:00,PT5M
14,0,32,2022-01-01T15:20:00+00:00,PT5M
13,0,22,2022-01-01T15:25:00+00:00,PT5M
13,0,14,2022-01-01T15:30:00+00:00,PT5M
13,0,8,2022-01-01T15:35:00+00:00,PT5M
13,0,6,2022-01-01T15:40:00+00:00,PT5M
13,0,4,2022-01-01T15:45:00+00:00,PT5M
13,0,2,2022-01-01T15:50:00+00:00,PT5M
13,0,0,2022-01-01T15:55:00+00:00,PT5M
13,0,0,2022-01-01T16:00:00+00:00,PT5M
13,0,0,2022-01-01T16:05:00+00:00,PT5M
13,0,0,2022-01-01T16:10:00+00:00,PT5M
13,0,0,2022-01-01T16:15:00+00:00,PT5M
13,0,0,2022-01-01T16:20:00+00:00,PT5M
13,0,0,2022-01-01T16:25:00+00:00,PT5M
13,0,0,2022-01-01T16:30:00+00:00,PT5M
13,0,0,2022-01-01T16:35:00+00:00,PT5M
13,0,0,2022-01-01T16:40:00+00:00,PT5M
13,0,0,2022-01-01T16:45:00+00:00,PT5M
13,0,0,2022-01-01T16:50:00+00:00,PT5M
13,0,0,2022-01-01T16:55:00+00:00,PT5M
13,0,0,2022-01-01T17:00:00+00:00,PT5M
13,0,0,2022-01-01T17:05:00+00:00,PT5M
13,0,0,2022-01-01T17:10:00+00:00,PT5M
13,0,0,2022-01-01T17:15:00+00:00,PT5M
13,0,0,2022-01-01T17:20:00+00:00,PT5M
13,0,0,2022-01-01T17:25:00+00:00,PT5M
13,0,0,2022-01-01T17:30:00+00:00,PT5M
13,0,0,2022-01-01T17:35:00+00:00,PT5M
13,0,0,2022-01-01T17:40:00+00:00,PT5M
13,0,0,2022-01-01T17:45:00+00:00,PT5M
13,0,0,2022-01-01T17:50:00+00:00,PT5M
13,0,0,2022-01-01T17:55:00+00:00,PT5M
13,0,0,2022-01-01T18:00:00+00:00,PT5M
13,0,0,2022-01-01T18:05:00+00:00,PT5M
13,0,0,2022-01-01T18:10:00+00:00,PT5M
13,0,0,2022-01-01T18:15:00+00:00,PT5M
13,0,0,2022-01-01T18:20:00+00:00,PT5M
13,0,0,2022-01-01T18:25:00+00:00,PT5M
13,0,0,2022-01-01T18:30:00+00:00,PT5M
13,0,0,2022-01-01T18:35:00+00:00,PT5M
13,0,0,2022-01-01T18:40:00+00:00,PT5M
13,0,0,2022-01-01T18:45:00+00:00,PT5M
13,0,0,2022-01-01T18:50:00+00:00,PT5M
13,0,0,2022-01-01T18:55:00+00:00,PT5M
13,0,0,2022-01-01T19:00:00+00:00,PT5M
13,0,0,2022-01-01T19:05:00+00:00,PT5M
13,0,0,2022-01-01T19:10:00+00:00,PT5M
13,0,0,2022-01-01T19:15:00+00:00,PT5M
13,0,0,2022-01-01T19:20:00+00:00,PT5M
13,0,0,2022-01-01T19:25:00+00:00,PT5M
13,0,0,2022-01-01T19:30:00+00:00,PT5M
13,0,0,2022-01-01T19:35:00+00:00,PT5M
13,0,0,2022-01-01T19:40:00+00:00,PT5M
13,0,0,2022-01-01T19:45:00+00:00,PT5M
13,0,0,2022-01-01T19:50:00+00:00,PT5M
13,0,0,2022-01-01T19:55:00+00:00,PT5M
13,0,0,2022-01-01T20:00:00+00:00,PT5M
13,0,0,2022-01-01T20:05:00+00:00,PT5M
13,0,0,2022-01-01T20:10:00+00:00,PT5M
13,0,0,2022-01-01T20:15:00+00:00,PT5M
13,0,0,2022-01-01T20:20:00+00:00,PT5M
13,0,0,2022-01-01T20:25:00+00:00,PT5M
13,0,0,2022-01-01T20:30:00+00:00,PT5M
13,0,0,2022-01-01T20:35:00+00:00,PT5M
13,0,0,2022-01-01T20:40:00+00:00,PT5M
13,0,0,2022-01-01T20:45:00+00:00,PT5M
13,0,0,2022-01-01T20:50:00+00:00,PT5M
13,0,0,2022-01-01T20:55:00+00:00,PT5M
13,0,0,2022-01-01T21:00:00+00:00,PT5M
13,0,0,2022-01-01T21:05:00+00:00,PT5M
13,0,0,2022-01-01T21:10:00+00:00,PT5M
13,0,0,2022-01-01T21:15:00+00:00,PT5M
13,0,0,2022-01-01T21:20:00+00:00,PT5M
13,0,0,2022-01-01T21:25:00+00:00,PT5M
13,0,0,2022-01-01T21:30:00+00:00,PT5M
13,0,0,2022-01-01T21:35:00+00:00,PT5M
13,0,0,2022-01-01T21:40:00+00:00,PT5M
13,0,0,2022-01-01T21:45:00+00:00,PT5M
13,0,0,2022-01-01T21:50:00+00:00,PT5M
13,0,0,2022-01-01T21:55:00+00:00,PT5M
13,0,0,2022-01-01T22:00:00+00:00,PT5M
13,0,0,2022-01-01T22:05:00+00:00,PT5M
13,0,0,2022-01-01T22:10:00+00:00,PT5M
13,0,0,2022-01-01T22:15:00+00:00,PT5M
13,0,0,2022-01-01T22:20:00+00:00,PT5M
13,0,0,2022-01-01T22:25:00+00:00,PT5M
13,0,0,2022-01-01T22:30:00+00:00,PT5M
13,0,0,2022-01-01T22:35:00+00:00,PT5M
13,0,0,2022-01-01T22:40:00+00:00,PT5M
13,0,0,2022-01-01T22:45:00+00:00,PT5M
13,0,0,2022-01-01T22:50:00+00:00,PT5M
13,0,0,2022-01-01T22:55:00+00:00,PT5M
13,0,0,2022-01-01T23:00:00+00:00,PT5M
13,0,0,2022-01-01T23:05:00+00:00,PT5M
13,0,0,2022-01-01T23:10:00+00:00,PT5M
13,0,0,2022-01-01T23:15:00+00:00,PT5M
13,0,0,2022-01-01T23:20:00+00:00,PT5M
13,0,0,2022-01-01T23:25:00+00:00,PT5M
13,0,0,2022-01-01T23:30:00+00:00,PT5M
13,0,0,2022-01-01T23:35:00+00:00,PT5M
13,0,0,2022-01-01T23:40:00+00:00,PT5M
13,0,0,2022-01-01T23:45:00+00:00,PT5M
13,0,0,2022-01-01T23:50:00+00:00,PT5M
13,0,0,2022-01-01T23:55:00+00:00,PT5M
13,0,0,2022-01-02T00:00:00+00:00,PT5M
