hour,interval,Pimp,Pexp,H,SoC,L_BW1,L_BW2,A_DC,Pch,Pdis,P_source,P_fan,P_cooling,TRCU,QRCU,PS1,PS2,Ti1,Ti2,To1,To2,B
6,82,0.4346318104013754,0.0,121.9929844556724,0.5,0.0,0.0,0.1579368106690406,0.0877192982456141,0.0,34.8551384159064,233.00999999999996,267.86513841590636,0.0,0.1,47.46001160604673,47.46001160604673,0.4390618858433827,0.4390618858433825,1.0115504515395723,1.011550451539572,180.51860086917367
6,83,0.6939206653041379,0.0,118.84802226926902,0.5,196.0657985723142,0.0,0.1554719770314052,0.0877192982456141,0.0,33.95657779121972,233.00999999999996,266.96657779121966,0.0,0.1,308.1403938610229,46.71932909793729,0.429232234974905,0.429232234974905,0.9854728214698926,0.9854728214698923,-0.0
7,84,0.4681202895582097,0.0,118.84802226926904,0.5,-0.0,-0.0,0.2266421848578937,0.087719298245614,0.0,33.95657779121973,233.01000000000005,266.9665777912198,0.0,0.1,308.1403938610229,46.71932909793729,0.429232234974905,0.429232234974905,0.9854728214698926,0.9854728214698923,16.99816386434202
7,85,0.5527621315137979,0.0,412.7527311264968,0.5,0.0,0.0,0.2279789840514622,0.0877192982456147,0.0,117.92935175042764,233.01,350.93935175042765,0.0,0.1,68.50768470746439,68.50768470746439,2.264185291524722,0.4239072013783423,5.873525279702959,0.971461969492674,34.09658766820168
7,86,0.4741877573915763,0.0,167.80010060359493,0.5,0.0,0.0,0.2108203261922493,0.0877192982456141,0.0,47.94288588674141,233.00999999999996,280.95288588674134,0.0,0.1,63.35150802077094,63.35150802077094,0.5980173589313913,0.577226652504545,1.4027920084911918,1.3799625620493543,49.908112132620374
7,87,0.4765904354665161,0.0,155.0067061141233,0.5,0.0,0.0,0.2229240897154466,0.0877192982456141,0.0,44.28763031832094,233.00999999999996,277.2976303183209,0.0,0.1,66.98868895949172,66.98868895949172,0.5428768080777652,0.5426618556641895,1.285414085938943,1.2851780552571317,66.62741886127885
7,88,0.4731273440776555,0.0,163.16596581687136,0.5,0.0,0.0,0.2113470498617233,0.0877192982456141,0.0,46.61884737624896,233.00999999999996,279.6288473762489,0.0,0.1,63.50978848344786,63.50978848344786,0.5678759163450423,0.5678736939799552,1.3529528438340996,1.3529504035435345,82.47844760090808
7,89,0.4794988592824875,0.0,155.3362541817124,0.5,0.0,0.0,0.228547001254371,0.0877192982456141,0.0,44.381786909060686,233.00999999999996,277.39178690906067,0.0,0.1,68.67837387693851,68.67837387693851,0.543669146078785,0.5436691231020411,1.28802865425433,1.2880286290244825,99.6194726949859
7,90,0.4756810444288296,0.0,166.98846534691543,0.5,0.0,0.0,0.2142672449232702,0.0877192982456141,0.0,47.710990099118696,233.00999999999996,280.72099009911864,0.0,0.1,64.38730709944271,64.38730709944271,0.5797797425397778,0.5797797423022243,1.3846473081479649,1.3846473078871169,115.68951606423116
7,91,0.4740451560500752,0.0,157.33852211027434,0.5,0.0,0.0,0.2165074812075577,0.0877192982456141,0.0,44.95386346007838,233.00999999999996,277.96386346007836,0.0,0.1,65.06049810287112,65.06049810287112,0.549980929161255,0.5499809291587989,1.3046311949455802,1.3046311949428833,131.92757715479797
7,92,0.4764969385287869,0.0,158.8162714982237,0.5,0.0,0.0,0.2205625628616419,0.0877192982456141,0.0,45.376077570921055,233.00999999999996,278.38607757092103,0.0,0.1,66.27905013992341,66.27905013992341,0.554382822695691,0.5543828226956654,1.316884506618784,1.316884506618756,148.4697693694211
7,93,0.4753706457267529,0.0,161.57858590742478,0.5,0.0,0.0,0.2167353391046444,0.0877192982456141,0.0,46.165310259264224,233.00999999999996,279.17531025926417,0.0,0.1,65.12896940094566,65.12896940094566,0.563010894677154,0.5630108946771539,1.3397892695474694,1.339789269547469,164.72491980226943
7,94,0.4715516954056767,0.0,158.99064594089654,0.5,0.0,0.0,0.2105824142253875,0.0877192982456141,0.0,45.42589884025615,233.00999999999996,278.43589884025613,0.0,0.1,63.28001547472896,63.28001547472896,0.5550123099249525,0.5550123099249525,1.3183303975198717,1.318330397519872,180.5186008691735
7,95,0.7301298136883312,0.0,154.79736302569205,0.5,196.065798572314,0.0,0.207295969375207,0.0877192982456141,0.0,44.22781800734059,233.00999999999996,277.23781800734054,0.0,0.1,323.71350356033514,62.29243879724972,0.5419061087669823,0.5419061087669823,1.2835602240936324,1.2835602240936324,-0.0
8,96,0.5067501331546745,0.0,154.79736302569208,0.5,-0.0,-0.0,0.2833027310723671,0.087719298245614,0.0,44.227818007340595,233.01000000000005,277.23781800734065,0.0,0.1,323.71350356033514,62.29243879724972,0.5419061087669823,0.5419061087669823,1.2835602240936324,1.2835602240936324,16.998163864342033
8,97,0.5913983174666487,0.0,448.13883563343535,0.5,0.0,0.0,0.2849737300643277,0.0877192982456147,0.0,128.03966732383867,233.01,361.04966732383866,0.0,0.1,85.63460588433048,85.63460588433048,2.3750841541179435,0.5348060639715654,6.166942398334289,1.2648790881240075,34.09658766820169
8,98,0.5116801677626487,0.0,206.69741030053,0.5,0.0,0.0,0.2635254077403117,0.0877192982456141,0.0,59.05640294300857,233.00999999999996,292.06640294300854,0.0,0.1,79.18938502596367,79.18938502596367,0.7198342863161323,0.699043579889286,1.7253235980180164,1.7024941515761791,49.90811213262039
8,99,0.5147691112758092,0.0,191.0052529068904,0.5,0.0,0.0,0.2786551121443082,0.0877192982456141,0.0,54.572929401968686,233.00999999999996,287.58292940196867,0.0,0.1,83.73586119936463,83.73586119936463,0.6557428538091733,0.6555279013955976,1.583909498814292,1.5836734681324809,66.6274188612789
8,100,0.5054449157548284,0.0,201.2074249131576,0.5,0.0,0.0,0.2641838123271541,0.0877192982456141,0.0,57.487835689473606,233.00999999999996,290.49783568947356,0.0,0.1,79.38723560430981,79.38723560430981,0.6870417198888308,0.6870394975237436,1.6683878280487452,1.66838538775818,82.47844760090815
8,101,0.5034215889104074,0.0,191.420317392596,0.5,0.0,0.0,0.2856837515679638,0.0877192982456141,0.0,54.69151925502744,233.00999999999996,287.7015192550274,0.0,0.1,85.84796734617312,85.84796734617312,0.6567837738004464,0.6567837508237023,1.5872331584905122,1.587233133260665,99.619472694986
8,102,0.4687237504379308,0.0,205.98558168018545,0.5,0.0,0.0,0.2678340561540877,0.0877192982456141,0.0,58.85302333719584,233.00999999999996,291.8630233371958,0.0,0.1,80.48413387430337,80.48413387430337,0.7019220247192409,0.7019220244816874,1.708006481724001,1.7080064814631533,115.68951606423126
8,103,0.4467598599654659,0.0,193.9231526378071,0.5,0.0,0.0,0.2706343515094472,0.0877192982456141,0.0,55.40661503937347,233.00999999999996,288.4166150393734,0.0,0.1,81.3256226285889,81.3256226285889,0.6646735080513233,0.6646735080488673,1.6079863402816728,1.6079863402789758,131.9275771547981
8,104,0.4199930680638657,0.0,195.7703393727792,0.5,0.0,0.0,0.2757032035770524,0.0877192982456141,0.0,55.93438267793691,233.00999999999996,288.94438267793686,0.0,0.1,82.84881267490425,82.84881267490425,0.6701758749699394,0.6701758749699139,1.6233029798738048,1.6233029798737768,148.4697693694212
8,105,0.3888101120613232,0.0,199.22323238428095,0.5,0.0,0.0,0.2709191738808055,0.0877192982456141,0.0,56.92092353836598,233.00999999999996,289.93092353836596,0.0,0.1,81.41121175118207,81.41121175118207,0.6809609649467742,0.6809609649467739,1.651933933534668,1.651933933534668,164.72491980226954
8,106,0.590061608235543,0.0,195.98830742612063,0.5,180.5186008691736,0.0,0.2632280177817344,0.0877192982456141,0.0,55.996659264605896,233.00999999999996,289.00665926460584,0.0,0.1,319.79148716897606,79.1000193434112,0.6709627340065223,0.6709627340065223,1.625110343500171,1.625110343500171,0.0
8,107,0.3998465542059493,0.0,462.901720513577,0.5,15.547197703140526,0.0,0.2591199617190088,0.0877192982456141,0.0,132.25763443245057,233.00999999999996,365.26763443245056,0.0,0.1,98.59514543408284,77.86554849656216,2.348931717856196,0.6545799825590596,6.094997821268978,1.5816476267173725,-0.0
9,108,0.3610686262699564,0.0,462.9017205135769,0.5,-0.0,-0.0,0.3116330041796039,0.087719298245614,0.0,132.25763443245054,233.01000000000005,365.26763443245056,0.0,0.1,98.59514543408284,77.86554849656216,2.348931717856196,0.6545799825590596,6.094997821268978,1.5816476267173725,16.998163864342004
9,109,0.1708203203325292,0.0,0.0,0.5,0.0,0.0,0.3134711030707605,0.0877192982456147,0.0,0.0,233.01,233.01,1.7631623480008258,0.1,94.19806647276351,94.19806647276351,0.8107733717866757,0.6457049265647885,1.9680284892463105,1.5582962067553414,34.096587668201664
9,110,0.1247516452270427,0.0,0.0,0.5,0.0,0.0,0.2898779485143429,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.866906439021934,0.1,87.10832352856005,87.10832352856005,0.7638713669749431,0.762024843334438,1.867920236044724,1.8658926419991433,49.90811213262036
9,111,0.098897810236663,0.0,0.0,0.5,0.0,0.0,0.3065206233587391,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.7344856347683726,0.1,92.10944731930113,92.10944731930113,0.7135334613624674,0.7135143703943636,1.7344961162841257,1.73447515325262,66.62741886127884
9,112,0.0568239498723287,0.0,0.0,0.5,0.0,0.0,0.2906021935598695,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.827542502820738,0.1,87.32595916474081,87.32595916474081,0.7480619950830775,0.7480617977040376,1.8275426111877675,1.8275423944537077,82.47844760090807
9,113,0.1723135350146711,0.0,0.0,0.5,99.61947269498587,0.0,0.3142521267247601,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.7383499042543225,0.1,227.25872767410496,94.43276408079043,0.7148556610537118,0.7148556590130355,1.7383499053747151,1.7383499031339298,0.0
9,114,0.0171231023535741,0.0,0.0,0.5,16.070043369245255,0.0,0.2946174617694965,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,3.1164779997685432,0.1,109.9592717540607,88.5325472617337,1.6994659950861983,0.7644353355240274,4.361827687580146,1.8711283119569404,0.0
9,115,0.057711148589896,0.0,0.0,0.5,16.238061090566816,0.0,0.297697786660392,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.968927584601876,0.1,111.10893301220356,89.4581848914478,0.8859895925077079,0.7245922036627875,2.1756200011287516,1.762235168075001,0.0
9,116,0.0609073132611245,0.0,0.0,0.5,16.542192214623128,0.0,0.3032735239347577,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.9821440620763848,0.1,113.18995022855886,91.13369394239469,0.8839387587423296,0.7297146703410679,2.1861326912252785,1.77815543292749,0.0
9,117,0.057890743336156,0.0,0.0,0.5,16.255150432848325,0.0,0.2980110912688861,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,2.017400524951983,0.1,111.22586683676474,89.5523329263003,0.8985855743923359,0.7415795561768284,2.2251512295335427,1.8096498203704223,0.0
9,118,0.0433260998578867,0.0,0.0,0.5,15.793681066904057,0.0,0.2895508195599079,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.9843524593160935,0.1,108.06826270029109,87.01002127775233,0.8849537847211156,0.7306104485104845,2.188532129158074,1.7801727894741128,0.0
9,119,0.032574030107535,0.0,0.0,0.5,15.547197703140512,0.0,0.2850319578909097,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.930731311964608,0.1,106.38170028373906,85.65210334621837,0.8625444601197909,0.7125625980672126,2.1291255899719355,1.7323370339572817,-0.0
10,120,0.0225746276825918,0.0,0.0,0.5,-0.0,-0.0,0.3257981407332221,0.087719298245614,0.0,0.0,233.01000000000005,233.01000000000005,1.930731311964608,0.1,106.38170028373906,85.65210334621837,0.8625444601197909,0.7125625980672126,2.1291255899719355,1.7323370339572817,21.247704830427537
10,121,0.0,0.0,0.0,0.5,29.393780304458303,0.0,0.3277197895739769,0.0877192982456147,0.0,0.0,233.00999999999996,233.00999999999996,1.901892144996836,0.1,137.67150383959114,98.47979676698006,0.8503748740895334,0.7027557558279726,2.0971780808585225,1.7066062091351497,13.22695428079382
10,122,0.0,0.1235962251942561,0.0,0.5,0.0,0.0,0.3030542189013584,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,2.315369312188901,0.1,91.0677927798582,91.0677927798582,1.0704791185468874,0.7929223039516374,2.683737673295783,1.947000951082019,32.99135986131721
10,123,0.0,0.1961418255819258,0.0,0.5,0.0,0.0,0.3204533789659545,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.8111924226363456,0.1,96.29624037926934,96.29624037926934,0.7452376205004415,0.7421034948853868,1.8129131518747348,1.8094716933979564,53.89049327214033
10,124,0.0,0.2805441039741844,0.0,0.5,0.0,0.0,0.3038113841762272,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.9064860229652147,0.1,91.29532094495627,91.29532094495627,0.7779524325016738,0.777920029183981,1.9065038133613323,1.9064682325690971,73.7042791966769
10,125,0.0,0.165021529026623,0.0,0.5,0.0,95.13056056427418,0.3285363143031583,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,1.8132166872237612,0.1,98.72516244809908,225.56590986713132,0.7432001237045134,0.74319978869082,1.8132168711563568,1.8132165032911665,0.0
10,126,0.0,0.2990077092680881,0.0,0.5,0.0,20.08755421155658,0.3080091645772009,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,3.141263721322083,0.1,92.55675395544888,119.34015957085764,0.7950330230141486,1.687930646696853,1.9520302260570483,4.330497216587117,0.0
10,127,0.0,0.316012539733391,0.0,0.5,0.0,20.297576363208563,0.3112295042358643,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,2.094749224419884,0.1,93.52446602287723,120.587901173822,0.7532863276342623,0.9519161638098124,1.8380949755533065,2.351403473286461,0.0
10,128,0.0,0.3361747499978186,0.0,0.5,0.0,20.67774026827894,0.3170586841136102,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,2.1098315340491895,0.1,95.27613457613988,122.84645493384514,0.7587664064082925,0.9515142916868088,1.8548634402298787,2.3647996278685004,0.0
10,129,0.0,0.3853405582479412,0.0,0.5,0.0,0.0,0.3115570499629264,0.0877192982456141,0.0,0.0,233.00999999999996,233.00999999999996,2.147480033826823,0.1,93.6228935138594,93.6228935138594,0.7711729258265334,0.9674301154235216,1.887791836021539,2.407168231632107,20.31893804106042
10,130,0.0,0.3943348267333408,0.0,0.5008122596151204,0.0,0.0,0.3027122204489946,0.1019694669319374,0.0,0.0,233.00999999999996,233.00999999999996,1.8581917962136785,0.1,90.96502224492288,90.96502224492288,0.759705894176664,0.7619210417003506,1.8569756135906703,1.859407978836686,40.06103937469051
10,131,0.0,0.0,0.0,0.5205101778426084,59.49503650361618,0.0,0.2979879559768601,0.4334393126954265,0.0,0.0,233.00999999999996,233.00999999999996,1.806769245613675,0.1,168.87209610920138,89.54538077104647,0.7406286394235939,0.7406515415461513,1.8067566716594865,1.806781819567864,-0.0
11,132,0.0,0.4192148446578296,0.0,0.5205101778426084,-0.0,-0.0,0.3399632772868405,0.0913175750601053,0.0,0.0,233.01000000000005,233.01000000000005,1.806769245613675,0.1,168.87209610920138,89.54538077104647,0.7406286394235939,0.7406515415461513,1.8067566716594865,1.806781819567864,25.497245796513027
11,133,0.0,0.4526284823869613,0.0,0.5153050760641824,0.0,51.14488150230254,0.3419684760771933,0.0,0.0,0.0,233.00999999999996,233.00999999999996,2.5236092638470677,0.1,102.76152706119656,170.9547023976,1.2887994670941851,0.7303779243139111,3.267360562468218,1.779857965225918,0.0
11,134,0.0,0.3521791590222128,0.0,0.521298180069361,0.0,0.0,0.316230489288374,0.1955465748389561,0.0,0.0,233.00999999999996,233.00999999999996,2.670971705859141,0.1,95.0272620311564,95.0272620311564,0.8301945203917378,1.3039327356763464,2.035069853749137,3.306873557969145,23.717286696628065
11,135,0.0,0.0,0.0,0.5436115214762359,48.79624678961581,0.0,0.3343861345731699,0.4829179510099741,0.0,0.0,233.00999999999996,233.00999999999996,1.8874062327416656,0.1,165.544695825392,100.48303343923756,0.7706822958191882,0.7760404440911979,1.8844644481651371,1.8903480173181944,0.0
11,136,0.0,0.0,0.0,0.5688966475171855,0.0,23.776543109443864,0.3170205747925849,0.5389691448370527,0.0,0.0,233.00999999999996,233.00999999999996,2.595429112316807,0.1,95.26468272517177,126.96674020443024,1.2657804474787957,0.8078331511832146,3.2054038407725463,1.985454383861069,0.0
11,137,0.0,0.0,0.0,0.5935774146283609,0.0,25.71153764111672,0.3428205018815565,0.5328023436201256,0.0,0.0,233.00999999999996,233.00999999999996,2.1886565229818764,0.1,103.01756081540776,137.2996110035634,0.7772188444593219,0.995212270690817,1.8942649144868944,2.4830481314768584,0.0
11,138,0.0,0.0,0.0,0.6192757854327929,0.0,24.10506505386789,0.3214008673849053,0.5549849991353644,0.0,0.0,233.00999999999996,233.00999999999996,2.356019468903278,0.1,96.58096064916404,128.72104738765458,0.8259360151110505,1.069732858571811,2.0332429433128794,2.6787959944936763,0.0
11,139,0.0,0.0,0.0,0.6453983972514457,24.35709163585024,0.0,0.3247612218113366,0.5669363100522925,0.0,0.0,233.00999999999996,233.00999999999996,2.2161440803649066,0.1,130.06686933544034,97.59074715430668,0.7813188304444587,1.010321475639416,1.9132941469320912,2.5189940137977223,0.0
11,140,0.0,0.0,0.0,0.6715819939883165,24.81328832193475,0.0,0.3308438442924629,0.5725891352523762,0.0,0.0,233.00999999999996,233.00999999999996,2.237468972202826,0.1,132.50295963913143,99.4185752098851,1.016423931201745,0.790392249017841,2.5405396130867497,1.9343983313189033,0.0
11,141,0.0,0.0,0.0,0.6984952405766184,0.0,24.382725649272473,0.3251030086569667,0.5899836233014916,0.0,0.0,233.00999999999996,233.00999999999996,2.277558980909963,0.1,97.6934541014185,130.20375496711512,1.0362470532882018,0.8007928679889019,2.5891549278614803,1.9659630339584464,0.0
11,142,0.0,0.0,0.0,0.7176660590045086,0.0,0.0,0.3158736213380813,0.4588731725202903,0.0,0.0,233.00999999999996,233.00999999999996,2.240047932379601,0.1,94.92002321209344,94.92002321209344,0.7914592282714612,1.0176584372680206,1.936696959148176,2.5433989056110256,23.690521600356107
11,143,0.0,0.0,0.0,0.7254088159449475,47.0113181550669,0.0,0.3109439540628105,0.261744167201474,0.0,0.0,233.00999999999996,233.00999999999996,1.883027418687824,0.1,156.1204157359638,93.43865819587458,0.7691390716063744,0.7716971253208403,1.8816229702513263,1.884431867124322,-0.0
12,144,0.0,0.054051675166191,0.0,0.7254088159449475,-0.0,-0.0,0.3399632772868405,0.1272647045517445,0.0,0.0,233.01000000000005,233.01000000000005,1.883027418687824,0.1,156.1204157359638,93.43865819587458,0.7691390716063744,0.7716971253208403,1.8816229702513263,1.884431867124322,25.497245796513027
12,145,0.0,0.0,0.0,0.7207210443365548,51.14488150230254,0.0,0.3419684760771933,0.0450230973869614,0.0,0.0,233.00999999999996,233.00999999999996,2.440984516256146,0.1,170.9547023976,102.76152706119656,1.199417814369693,0.7581949494339802,3.028661626846193,1.853307405666086,0.0
12,146,0.0,0.0,0.0,0.7153328614943322,23.717286696628065,0.0,0.316230489288374,0.0319127649323314,0.0,0.0,233.00999999999996,233.00999999999996,2.670521677565993,0.1,126.65031095999382,95.0272620311564,1.3091635768921983,0.8241317638614152,3.3126240545544836,2.0284193005775015,0.0
12,147,0.0,0.0,0.0,0.7079447464391307,0.0,0.0,0.3343861345731699,0.0,0.0035217966038715,0.0,233.00999999999996,233.00999999999996,2.183892532583485,0.1,100.48303343923756,100.48303343923756,0.998705157726296,0.7706192485583997,2.4833898100952387,1.8843952550717311,25.078960092987742
12,148,0.0,0.0,0.0,0.7008652989747395,0.0,32.88027454973346,0.3170205747925849,0.0,0.0,0.0,233.00999999999996,233.00999999999996,1.9870477770245596,0.1,95.26468272517177,139.10504879148306,0.8105919899666718,0.8080204178978824,1.9884596474442189,1.985635906604901,15.97522865269815
12,149,0.0,0.0,0.0,0.6951990528424842,41.68676629381488,0.0,0.3428205018815565,0.0235509974998611,0.0,0.0,233.00999999999996,233.00999999999996,2.2991402704427073,0.1,158.5999158738276,103.01756081540776,0.7715743224402608,1.0801627476613531,1.8881163573692117,2.710164183516202,0.0
12,150,0.0,0.0,0.0,0.6942760887085251,24.105065053867875,0.0,0.3214008673849053,0.1057723928853643,0.0,0.0,233.00999999999996,233.00999999999996,2.556312626465431,0.1,128.72104738765455,96.58096064916404,1.2172413037070686,0.8294546883331492,3.075527578195046,2.037097674735816,0.0
12,151,0.0,0.0,0.0,0.6959186386649951,0.0,0.0,0.3247612218113366,0.150619488483426,0.0,0.0,233.00999999999996,233.00999999999996,2.2172444885797864,0.1,97.59074715430668,97.59074715430668,1.0121546683306053,0.7815195774978464,2.520990683772358,1.9134982933872149,24.357091635850253
12,152,0.0,0.0,0.0,0.693907506743406,0.0,49.17037995778499,0.3308438442924629,0.0868079730712423,0.0,0.0,233.00999999999996,233.00999999999996,1.9329917779235657,0.1,99.4185752098851,164.9790818202651,0.7904120952524906,0.7878106780779259,1.9344200342040476,1.931563521643083,0.0
12,153,0.0,0.0,0.0,0.693964125297907,24.38272564927246,0.0,0.3251030086569667,0.1227314670514916,0.0,0.0,233.00999999999996,233.00999999999996,2.5803810804845595,0.1,130.20375496711512,97.6934541014185,0.800543199550973,1.262030619843746,1.9657136401099569,3.1950485208591624,0.0
12,154,0.0,0.0,0.0,0.6943360857507074,23.690521600356107,0.0,0.3158736213380813,0.1282737141364821,0.0,0.0,233.00999999999996,233.00999999999996,2.241696756482628,0.1,126.5073853459016,94.92002321209344,1.0179043864314885,0.7942612844964719,2.5436443500485657,1.9397491629166908,0.0
12,155,0.0,0.0,0.0,0.6943265365953114,23.320796554710796,0.0,0.3109439540628105,0.1216458193352822,0.0,0.0,233.00999999999996,233.00999999999996,2.1792028496889726,0.1,124.53305360215565,93.43865819587458,0.9940607862583848,0.7691693797558782,2.4767495830214012,1.881656116356544,-0.0
13,156,0.0,0.0186977324761255,0.0,0.6943265365953114,-0.0,-0.0,0.3257981407332221,0.121811673086896,0.0,0.0,233.01000000000005,233.01000000000005,2.1792028496889726,0.1,124.53305360215565,93.43865819587458,0.9940607862583848,0.7691693797558782,2.4767495830214012,1.881656116356544,25.49724579651304
13,157,0.0,0.0,0.0,0.6939079491520721,0.0,51.14488150230254,0.3277197895739769,0.1144680337318211,0.0,0.0,233.00999999999996,233.00999999999996,2.146449963723291,0.1,98.47979676698006,166.67297210338344,0.9798397118757148,0.7584118759286165,2.439378405537062,1.8535215219095016,0.0
13,158,0.0,0.0,0.0,0.6990042702214302,0.0,23.71728669662805,0.3030542189013584,0.2111473782610327,0.0,0.0,233.00999999999996,233.00999999999996,2.5886286850292106,0.1,91.0677927798582,122.6908417086956,0.7962501309761773,1.2737979965723147,1.9506352203024055,3.2266221497560155,0.0
13,159,0.0,0.0,0.0,0.7064348838303186,25.078960092987742,0.0,0.3204533789659545,0.2529939703702227,0.0,0.0,233.00999999999996,233.00999999999996,2.1091882816912717,0.1,129.73485383658632,96.29624037926934,0.7423621428991266,0.9703706765064658,1.809733485689751,2.4086430776927923,0.0
13,160,0.0,0.0,0.0,0.7119233348259761,23.776543109443864,0.0,0.3038113841762272,0.2202245584905397,0.0,0.0,233.00999999999996,233.00999999999996,2.2216406473760193,0.1,122.99737842421476,91.29532094495627,1.0135589399164149,0.7807380163701841,2.533742972837799,1.90953832191424,0.0
13,161,0.0,0.0,0.0,0.7135110523743938,0.0,25.711537641116735,0.3285363143031583,0.1527535245031137,0.0,0.0,233.00999999999996,233.00999999999996,2.1121844817608295,0.1,98.72516244809908,133.00721263625474,0.9692875045921376,0.743487544814399,2.410862111996281,1.813506851525378,0.0
13,162,0.0,0.0,0.0,0.7127870134386652,0.0,24.10506505386789,0.3080091645772009,0.1124749401406203,0.0,0.0,233.00999999999996,233.00999999999996,2.2750994123794253,0.1,92.55675395544888,124.69684069393938,0.7978298022930567,1.0366104141754098,1.9550769488157809,2.5951218759430708,0.0
13,163,0.0,0.0,0.0,0.7078470316433612,24.35709163585024,0.0,0.3112295042358643,0.0383840059488162,0.0,0.0,233.00999999999996,233.00999999999996,2.140238063522282,0.1,126.0005882040109,93.52446602287723,0.752604398139909,0.9815551811680552,1.8374166039790805,2.443059523065484,0.0
13,164,0.0,0.0,0.0,0.698260815188387,24.81328832193472,0.0,0.3170586841136102,0.0,0.0376161920781082,0.0,233.00999999999996,233.00999999999996,2.160801365279855,0.1,128.36051900538618,95.27613457613988,0.9874129519351182,0.7613807335550073,2.4638723005516248,1.8577304300080852,0.0
13,165,0.0,0.0,0.0,0.6844628563283603,0.0,24.3827256492725,0.3115570499629264,0.0,0.1022302606221413,0.0,233.00999999999996,233.00999999999996,2.199459249728065,0.1,93.6228935138594,126.13319437955607,1.0066959727156046,0.771241781872642,2.5110551997232187,1.8878632997329103,0.0
13,166,0.0,0.0,0.0,0.6745922807089948,17.85452587988083,0.0,0.3027122204489946,0.0,0.0453892058412295,0.0,233.00999999999996,233.00999999999996,2.163288200043332,0.1,114.77105675143063,90.96502224492288,0.76240687523548,0.9886060841747246,1.8599372268433745,2.4666391732432893,5.835995720475266
