hour,interval,Pimp,Pexp,H,SoC,L_BW1,L_BW2,A_DC,Pch,Pdis,P_source,P_fan,P_cooling,TRCU,QRCU,PS1,PS2,Ti1,Ti2,To1,To2
0,0,0.7482877108349268,0.0,783.9,0.8,-0.0,-0.0,0.0849908193217101,0.1403508771929806,0.0,223.97142857142856,341.4275,565.3989285714285,25.0,0.05,500.0,500.0,20.0,20.0,38.0,38.0
0,1,0.0,0.0,1167.3144698986332,0.7513788516306535,0.0,0.0,0.0854921190192983,0.0,0.6093172255401968,333.51841997103804,233.01,566.528419971038,0.0,0.1,25.690381765299144,25.690381765299144,3.802010129160944,3.802010129160944,9.67922446018767,9.67922446018767
0,2,0.0,0.0,74.62498658488018,0.7242717454669639,0.0,0.0,0.0790576223220935,0.0,0.2938997647107449,21.3214247385372,233.01,254.33142473853715,0.0,0.1,23.7568155077891,23.7568155077891,0.313799927405474,0.313799927405474,0.6187809832908804,0.6187809832908804
0,3,0.0,0.0,65.05239931240935,0.6974665970194934,0.0,0.0,0.0835965336432924,0.0,0.2934364648920134,18.58639980354553,233.01,251.5963998035455,0.0,0.1,25.1207583598094,25.1207583598094,0.2609218301156019,0.2609218301156019,0.5394062961227972,0.5394062961227972
0,4,0.0,0.0,68.06275293089632,0.6710170176987438,0.0,0.0,0.0792551436981462,0.0,0.2921237002583211,19.44650083739895,233.01,252.4565008373989,0.0,0.1,23.81617068129294,23.81617068129294,0.2699635800581715,0.2699635800581716,0.5643677689129047,0.5643677689129047
0,5,0.0,0.0,65.12610065040995,0.644672656013315,0.0,0.0,0.0857051254703891,0.0,0.2945128726266183,18.60745732868856,233.01,251.6174573286885,0.0,0.1,25.754390203851937,25.754390203851937,0.2608825992365776,0.2608825992365776,0.5400174183284407,0.5400174183284407
0,6,0.0,0.0,69.49567456022287,0.618687183416599,0.0,0.0,0.0803502168462263,0.0,0.2930811905487427,19.855907017206533,233.01,252.8659070172065,0.0,0.1,24.14524016229101,24.14524016229101,0.274424037323351,0.274424037323351,0.5762493744628762,0.5762493744628762
0,7,0.0,0.0,65.87694579192285,0.5930024627563583,0.0,0.0,0.0811903054528341,0.0,0.2924677323911214,18.82198451197796,233.01,251.8319845119779,0.0,0.1,24.397686788576667,24.397686788576667,0.2632494819384849,0.2632494819384849,0.5462433316079837,0.5462433316079839
0,8,0.0,0.0,66.43110181183974,0.567513294740763,0.0,0.0,0.0827109610731157,0.0,0.2933871508204771,18.980314803382782,233.01,251.9903148033828,0.0,0.1,24.85464380247128,24.85464380247128,0.2649001920100945,0.2649001920100945,0.5508383234812582,0.5508383234812582
0,9,0.0,0.0,67.46696971528434,0.5423071757253745,0.0,0.0,0.0812757521642416,0.0,0.2929647910197127,19.27627706150981,233.01,252.28627706150976,0.0,0.1,24.423363525354624,24.423363525354624,0.2681357190031039,0.2681357190031039,0.559427609579472,0.559427609579472
0,10,0.2915326846493091,0.0,66.49649222783619,0.5368841039681207,0.0,0.0,0.0789684053345203,0.0,0.0,18.998997779381767,233.01,252.00899777938173,0.0,0.1,23.730005803023364,23.730005803023364,0.2651362497210279,0.2651362497210278,0.5513805325691226,0.5513805325691226
0,11,0.2904665797191476,0.0,64.92401113463451,0.5315152629284395,0.0,0.0,0.0777359885157026,0.0,0.0,18.54971746703843,233.01,251.5597174670384,0.0,0.1,23.359664548968645,23.359664548968645,0.2602214242867891,0.2602214242867891,0.5383417175342828,0.5383417175342828
1,12,0.384510053941351,0.0,64.92401113463451,0.5315152629284395,-0.0,-0.0,0.0793247647002628,0.0932482917418295,0.0,18.54971746703843,233.01,251.55971746703835,0.0,0.1,23.359664548968645,23.359664548968645,0.2602214242867891,0.2602214242867891,0.5383417175342828,0.5383417175342828
1,13,0.2912545490341886,0.0,64.07915676040822,0.5262001102991551,0.0,0.0,0.0797926444180117,0.0,0.0,18.30833050297377,233.01,251.3183305029737,0.0,0.1,23.97768964761253,23.97768964761253,0.2575589074885077,0.2575589074885077,0.5313362915456735,0.5313362915456735
1,14,0.2886469674853467,0.0,65.47280895616798,0.5209381091961636,0.0,0.0,0.0737871141672872,0.0,0.0,18.706516844619426,233.01,251.7165168446193,0.0,0.1,22.173027807269825,22.173027807269825,0.2618794790006199,0.2618794790006199,0.5428922799018904,0.5428922799018904
1,15,0.2896030522389261,0.0,61.39813688057984,0.5157287281042019,0.0,0.0,0.0780234314004063,0.0,0.0,17.54232482302281,233.01,250.5523248230228,0.0,0.1,23.4460411358221,23.4460411358221,0.249224371708656,0.249224371708656,0.5091056126084563,0.5091056126084563
1,16,0.2883921607471217,0.0,64.25804450658019,0.5105714408231599,0.0,0.0,0.0739714674516031,0.0,0.0,18.35944128759434,233.01,251.3694412875943,0.0,0.1,22.228425969206747,22.228425969206747,0.2580427519393642,0.2580427519393642,0.5328196061905487,0.5328196061905489
1,17,0.2906222033771787,0.0,61.51768851355528,0.5054657264149283,0.0,0.0,0.0799914504390298,0.0,0.0,17.576482432444365,233.01,250.5864824324443,0.0,0.1,24.03743085692848,24.03743085692848,0.2495710925473268,0.2495710925473268,0.5100969196812212,0.5100969196812212
1,18,0.289285968305653,0.0,65.59596286676742,0.5004110691507789,0.0,0.0,0.0749935357231445,0.0,0.0,18.741703676219263,233.01,251.7517036762192,0.0,0.1,22.53555748480494,22.53555748480494,0.2622098086513517,0.2622098086513517,0.543913456606695,0.543913456606695
1,19,0.3692930835275428,0.0,62.21848273854788,0.5,0.0,0.0,0.0757776184226452,0.080579676153138,0.0,17.77670935387082,233.01,250.7867093538708,0.0,0.1,22.77117433600489,22.77117433600489,0.2517802240447837,0.2517802240447837,0.5159078170692196,0.5159078170692194
1,20,0.3772908294875815,0.0,62.73569502437776,0.5,0.0,0.0,0.0771968970015746,0.0877192982456141,0.0,17.92448429267936,233.01,250.9344842926793,0.0,0.1,23.19766754897319,23.19766754897319,0.2533208867826211,0.2533208867826211,0.5201964761557027,0.5201964761557027
1,21,0.3768966270068697,0.0,63.70250506759864,0.5,0.0,0.0,0.0758573686866255,0.0877192982456141,0.0,18.20071573359961,233.01,251.2107157335996,0.0,0.1,22.795139290330987,22.795139290330987,0.2563407119761414,0.2563407119761414,0.5282131431807516,0.5282131431807514
1,22,0.3755599943944931,0.0,62.7967260793138,0.5,0.0,0.0,0.0737038449788856,0.0877192982456141,0.0,17.9419217369468,233.01,250.9519217369468,0.0,0.1,22.148005416155137,22.148005416155137,0.2535412073128709,0.2535412073128709,0.5207025379710929,0.5207025379710927
1,23,0.3745649631263423,0.0,61.32907705899222,0.5,0.0,0.0,0.0725535892813224,0.0877192982456141,0.0,17.52259344542635,233.01,250.5325934454263,0.0,0.1,21.8023535790374,21.8023535790374,0.2489540369075813,0.2489540369075813,0.5085329772719088,0.508532977271909
2,24,0.3751180760854875,0.0,61.32907705899222,0.5,-0.0,-0.0,0.0736587100788154,0.087719298245614,0.0,17.52259344542635,233.01,250.53259344542627,0.0,0.1,21.8023535790374,21.8023535790374,0.2489540369075813,0.2489540369075813,0.5085329772719088,0.508532977271909
2,25,0.3751102286845178,0.0,60.54054630971434,0.5,0.0,0.0,0.0740931698167252,0.0877192982456147,0.0,17.29729894563267,233.01,250.30729894563265,0.0,0.1,22.264997529925928,22.264997529925928,0.2464690212291854,0.2464690212291854,0.5019945796825401,0.5019945796825401
2,26,0.3726170246938536,0.0,61.58307798647449,0.5,0.0,0.0,0.068516606012481,0.0877192982456141,0.0,17.595165138992712,233.01,250.60516513899267,0.0,0.1,20.589240106750555,20.589240106750555,0.2496977862621459,0.2496977862621459,0.510639120949208,0.510639120949208
2,27,0.373504482903611,0.0,57.79828220130312,0.5,0.0,0.0,0.0724503291575201,0.0877192982456141,0.0,16.513794914658035,233.01,249.523794914658,0.0,0.1,21.77132391183481,21.77132391183481,0.2379377671355153,0.2379377671355153,0.4792560713209214,0.4792560713209213
2,28,0.3723800802000184,0.0,60.45389859695159,0.5,0.0,0.0,0.06868779120506,0.0877192982456141,0.0,17.272542456271882,233.01,250.28254245627184,0.0,0.1,20.640681257120555,20.640681257120555,0.2461261715849854,0.2461261715849854,0.5012761077690844,0.5012761077690844
2,29,0.3744508340350009,0.0,57.90928219246694,0.5,0.0,0.0,0.0742777754076706,0.0877192982456141,0.0,16.545509197847696,233.01,249.55550919784767,0.0,0.1,22.320471510005014,22.320471510005014,0.2382596297751606,0.2382596297751606,0.480176469257603,0.4801764692576031
2,30,0.3732100443253571,0.0,61.69625123344042,0.5,0.0,0.0,0.0696368546000628,0.0877192982456141,0.0,17.62750035241155,233.01,250.6375003524115,0.0,0.1,20.92587480731887,20.92587480731887,0.2499955804334054,0.2499955804334054,0.5115775392490912,0.5115775392490914
2,31,0.3726783806034797,0.0,58.5600196857946,0.5,0.0,0.0,0.0703649313924562,0.0877192982456141,0.0,16.731434195941315,233.01,249.74143419594128,0.0,0.1,21.14466188343312,21.14466188343312,0.2403109661557768,0.2403109661557768,0.4855723025356102,0.4855723025356102
2,32,0.3734752099090737,0.0,59.04028823692222,0.5,0.0,0.0,0.0716828329300336,0.0877192982456141,0.0,16.868653781977777,233.01,249.87865378197773,0.0,0.1,21.540691295475103,21.540691295475103,0.2417415815551963,0.2417415815551963,0.4895546288302007,0.4895546288302007
2,33,0.3731091647484127,0.0,59.93804041991302,0.5,0.0,0.0,0.0704389852090094,0.0877192982456141,0.0,17.125154405689436,233.01,250.1351544056894,0.0,0.1,21.166915055307346,21.166915055307346,0.2445457049491793,0.2445457049491793,0.4969986767820317,0.4969986767820317
2,34,0.371868005894063,0.0,59.09695993079137,0.5,0.0,0.0,0.0684392846232509,0.0877192982456141,0.0,16.88484569451182,233.01,249.8948456945118,0.0,0.1,20.56600502928692,20.56600502928692,0.2419461649047139,0.2419461649047139,0.4900245433730628,0.4900245433730627
2,35,0.370944048287923,0.0,57.734142983349926,0.5,0.0,0.0,0.0673711900469423,0.0877192982456141,0.0,16.495469423814264,233.01,249.50546942381425,0.0,0.1,20.24504260910616,20.24504260910616,0.2376866495283736,0.2376866495283736,0.4787242370095349,0.4787242370095349
3,36,0.3726730218948573,0.0,57.73414298334683,0.5,-0.0,-0.0,0.0708256827680917,0.087719298245614,0.0,16.49546942381338,233.01,249.5054694238133,0.0,0.1,20.24504260910616,20.24504260910616,0.2376866495283736,0.2376866495283736,0.4787242370095349,0.4787242370095349
3,37,0.3726729036082059,0.0,57.00193585902047,0.5,0.0,0.0,0.0712434325160819,0.0877192982456147,0.0,16.286267388291563,233.01,249.2962673882916,0.0,0.1,21.40865147108262,21.40865147108262,0.2353791349698631,0.2353791349698631,0.4726528678194068,0.4726528678194068
3,38,0.3707400362638057,0.0,59.62992481139831,0.5,0.0,0.0,0.0658813519350779,0.0877192982456141,0.0,17.03712137468523,233.01,250.0471213746852,0.0,0.1,19.79734625649092,19.79734625649092,0.2435443563612542,0.2435443563612542,0.4944438209900357,0.4944438209900357
3,39,0.3715955246316169,0.0,55.99826917631185,0.5,0.0,0.0,0.069663778036077,0.0877192982456141,0.0,15.999505478946244,233.01,249.0095054789462,0.0,0.1,20.93396529984116,20.93396529984116,0.232293817805939,0.2322938178059391,0.464330590185007,0.464330590185007
3,40,0.3705143905505485,0.0,58.55182475624753,0.5,0.0,0.0,0.0660459530817885,0.0877192982456141,0.0,16.729092787499294,233.01,249.7390927874993,0.0,0.1,19.84680890107745,19.84680890107745,0.2401678747181023,0.2401678747181023,0.4855043512126661,0.485504351212666
3,41,0.372505500238488,0.0,56.10507902276363,0.5,0.0,0.0,0.0714209378919909,0.0877192982456141,0.0,16.030022577932467,233.01,249.04002257793243,0.0,0.1,21.46199183654328,21.46199183654328,0.2326038983199137,0.2326038983199136,0.4652162439698477,0.4652162439698477
3,42,0.3713124332123749,0.0,59.74639541668223,0.5,0.0,0.0,0.0669585140385219,0.0877192982456141,0.0,17.070398690480637,233.01,250.0803986904806,0.0,0.1,20.12103346857584,20.12103346857584,0.2438884663237172,0.2438884663237171,0.4954095805695043,0.4954095805695044
3,43,0.3708012180952099,0.0,56.73078815941699,0.5,0.0,0.0,0.0676585878773618,0.0877192982456141,0.0,16.208796616976283,233.01,249.21879661697625,0.0,0.1,20.331405657147226,20.331405657147226,0.234576337211266,0.234576337211266,0.4704045452687975,0.4704045452687976
3,44,0.3715674001198197,0.0,57.19258484319441,0.5,0.0,0.0,0.0689258008942631,0.0877192982456141,0.0,16.340738526626975,233.01,249.3507385266269,0.0,0.1,20.712203168726063,20.712203168726063,0.2359519289414838,0.2359519289414838,0.4742337051674495,0.4742337051674496
3,45,0.3712154336191842,0.0,58.05580809607022,0.5,0.0,0.0,0.0677297934702013,0.0877192982456141,0.0,16.58737374173435,233.01,249.59737374173432,0.0,0.1,20.35280293779552,20.35280293779552,0.2386482014356983,0.2386482014356983,0.4813914435826718,0.4813914435826719
3,46,0.3700220116438479,0.0,57.24707685653015,0.5,0.0,0.0,0.0658070044454336,0.0877192982456141,0.0,16.356307673294328,233.01,249.3663076732943,0.0,0.1,19.7750048358528,19.7750048358528,0.2361486437006354,0.2361486437006354,0.4746855460740476,0.4746855460740477
3,47,0.3691335908687132,0.0,55.93667594552875,0.5,0.0,0.0,0.0647799904297522,0.0877192982456141,0.0,15.981907413008214,233.01,248.99190741300816,0.0,0.1,19.46638712414054,19.46638712414054,0.2320529558387697,0.2320529558387697,0.4638198668783478,0.4638198668783478
4,48,0.3735773900530694,0.0,55.93667594552875,0.5,-0.0,-0.0,0.0736587100788154,0.087719298245614,0.0,15.981907413008214,233.01,248.9919074130081,0.0,0.1,19.46638712414054,19.46638712414054,0.2320529558387697,0.2320529558387697,0.4638198668783478,0.4638198668783478
4,49,0.3735936813485061,0.0,55.23263063367352,0.5,0.0,0.0,0.0740931698167252,0.0877192982456147,0.0,15.780751609621008,233.01,248.790751609621,0.0,0.1,22.264997529925928,22.264997529925928,0.2298341918402019,0.2298341918402019,0.4579820118878401,0.4579820118878401
4,50,0.3726099209593712,0.0,61.55821491578623,0.5,0.0,0.0,0.068516606012481,0.0877192982456141,0.0,17.588061404510352,233.01,250.5980614045103,0.0,0.1,20.589240106750555,20.589240106750555,0.249510035667182,0.249510035667182,0.510432959500715,0.510432959500715
4,51,0.3735044094590227,0.0,57.79802514524435,0.5,0.0,0.0,0.0724503291575201,0.0877192982456141,0.0,16.513721470069815,233.01,249.52372147006977,0.0,0.1,21.77132391183481,21.77132391183481,0.2379358260064978,0.2379358260064978,0.4792539398444805,0.4792539398444805
4,52,0.3723800794406844,0.0,60.453895939282376,0.5,0.0,0.0,0.06868779120506,0.0877192982456141,0.0,17.27254169693782,233.01,250.28254169693776,0.0,0.1,20.640681257120555,20.640681257120555,0.2461261515159045,0.2461261515159045,0.5012760857320264,0.5012760857320262
4,53,0.3744508340271502,0.0,57.909282164989634,0.5,0.0,0.0,0.0742777754076706,0.0877192982456141,0.0,16.545509189997038,233.01,249.555509189997,0.0,0.1,22.320471510005014,22.320471510005014,0.238259629567669,0.238259629567669,0.4801764690297647,0.4801764690297647
4,54,0.3732100443252759,0.0,61.69625123315635,0.5,0.0,0.0,0.0696368546000628,0.0877192982456141,0.0,17.627500352330387,233.01,250.6375003523304,0.0,0.1,20.92587480731887,20.92587480731887,0.2499955804312602,0.2499955804312602,0.511577539246736,0.5115775392467358
4,55,0.3726783806034789,0.0,58.56001968579167,0.5,0.0,0.0,0.0703649313924562,0.0877192982456141,0.0,16.731434195940476,233.01,249.74143419594043,0.0,0.1,21.14466188343312,21.14466188343312,0.2403109661557546,0.2403109661557546,0.4855723025355859,0.4855723025355859
4,56,0.3734752099090737,0.0,59.04028823692218,0.5,0.0,0.0,0.0716828329300336,0.0877192982456141,0.0,16.868653781977766,233.01,249.87865378197773,0.0,0.1,21.540691295475103,21.540691295475103,0.2417415815551961,0.241741581555196,0.4895546288302005,0.4895546288302004
4,57,0.3731091647484127,0.0,59.93804041991302,0.5,0.0,0.0,0.0704389852090094,0.0877192982456141,0.0,17.125154405689436,233.01,250.1351544056894,0.0,0.1,21.166915055307346,21.166915055307346,0.2445457049491793,0.2445457049491793,0.4969986767820317,0.4969986767820317
4,58,0.371868005894063,0.0,59.09695993079137,0.5,0.0,0.0,0.0684392846232509,0.0877192982456141,0.0,16.88484569451182,233.01,249.8948456945118,0.0,0.1,20.56600502928692,20.56600502928692,0.2419461649047139,0.2419461649047139,0.4900245433730628,0.4900245433730627
4,59,0.370944048287923,0.0,57.734142983349926,0.5,0.0,0.0,0.0673711900469423,0.0877192982456141,0.0,16.495469423814264,233.01,249.50546942381425,0.0,0.1,20.24504260910616,20.24504260910616,0.2376866495283736,0.2376866495283736,0.4787242370095349,0.4787242370095349
5,60,0.3868523235850293,0.0,57.73414298334683,0.5,-0.0,-0.0,0.0991559558753285,0.087719298245614,0.0,16.49546942381338,233.01,249.5054694238133,0.0,0.1,20.24504260910616,20.24504260910616,0.2376866495283736,0.2376866495283736,0.4787242370095349,0.4787242370095349
5,61,0.3869358387979255,0.0,57.00193585902047,0.5,0.0,0.0,0.0997408055225147,0.0877192982456147,0.0,16.286267388291563,233.01,249.2962673882916,0.0,0.1,29.97211205951568,29.97211205951568,0.2353791349698631,0.2353791349698631,0.4726528678194068,0.4726528678194068
5,62,0.3894625623344008,0.0,78.99570275757169,0.5,0.0,0.0,0.092233892709109,0.0877192982456141,0.0,22.570200787877628,233.01,255.5802007878776,0.0,0.1,27.716284759087287,27.716284759087287,0.3038269847370783,0.3038269847370783,0.6550224109251384,0.6550224109251384
5,63,0.3906846177209693,0.0,73.99668571916615,0.5,0.0,0.0,0.0975292892505079,0.0877192982456141,0.0,21.141910205476044,233.01,254.151910205476,0.0,0.1,29.307551419777624,29.307551419777624,0.288720370241585,0.2887203702415851,0.6135711917012118,0.6135711917012118
5,64,0.3891712819830213,0.0,77.57254544549328,0.5,0.0,0.0,0.0924643343145039,0.0877192982456141,0.0,22.16358441299808,233.01,255.17358441299805,0.0,0.1,27.78553246150844,27.78553246150844,0.2997507095930605,0.2997507095930605,0.6432217698631283,0.6432217698631283
5,65,0.3919588381512792,0.0,74.14711053661446,0.5,0.0,0.0,0.0999893130487873,0.0877192982456141,0.0,21.18488872474699,233.01,254.19488872474696,0.0,0.1,30.04678857116059,30.04678857116059,0.2891612114891056,0.2891612114891056,0.6148184953284782,0.614818495328478
5,66,0.390288544341655,0.0,79.2449535823703,0.5,0.0,0.0,0.0937419196539307,0.0877192982456141,0.0,22.641415309248657,233.01,255.65141530924865,0.0,0.1,28.169446856006186,28.169446856006186,0.3049596074062979,0.3049596074062979,0.6570891673496706,0.6570891673496708
5,67,0.3895728431779025,0.0,75.02310342317361,0.5,0.0,0.0,0.0947220230283065,0.0877192982456141,0.0,21.43517240662103,233.01,254.445172406621,0.0,0.1,28.46396792000612,28.46396792000612,0.2919226266562263,0.2919226266562263,0.6220821179367628,0.6220821179367628
5,68,0.3906454980123591,0.0,75.66961878047209,0.5,0.0,0.0,0.0964961212519683,0.0877192982456141,0.0,21.619891080134884,233.01,254.62989108013485,0.0,0.1,28.997084436216493,28.997084436216493,0.2938484550786072,0.2938484550786072,0.6274429417949593,0.6274429417949593
5,69,0.3901527449114694,0.0,76.87813133449832,0.5,0.0,0.0,0.0948217108582819,0.0877192982456141,0.0,21.96518038128524,233.01,254.9751803812852,0.0,0.1,28.49392411291373,28.49392411291373,0.2976232365705084,0.2976232365705084,0.6374637755762713,0.6374637755762713
5,70,0.3884819541459987,0.0,75.74590759914221,0.5,0.0,0.0,0.092129806223607,0.0877192982456141,0.0,21.641687885469203,233.01,254.6516878854692,0.0,0.1,27.68500677019392,27.68500677019392,0.2941238557414203,0.2941238557414203,0.6280755190641975,0.6280755190641975
5,71,0.3872381650608101,0.0,73.91134632374026,0.5,0.0,0.0,0.090691986601653,0.0877192982456141,0.0,21.117527521068645,233.01,254.1275275210686,0.0,0.1,27.25294197379676,27.25294197379676,0.2883898927348084,0.2883898927348084,0.6128635681902177,0.6128635681902177
6,72,0.4269226359077145,0.0,73.91134632374026,0.5,-0.0,-0.0,0.1699816386434202,0.087719298245614,0.0,21.117527521068645,233.01,254.12752752106857,0.0,0.1,27.25294197379676,27.25294197379676,0.2883898927348084,0.2883898927348084,0.6128635681902177,0.6128635681902177
6,73,0.4271428187802596,0.0,72.92568288714294,0.5,0.0,0.0,0.1709842380385966,0.0877192982456147,0.0,20.83590939632656,233.01,253.84590939632653,0.0,0.1,51.38076353059829,51.38076353059829,0.2852836231368135,0.2852836231368135,0.604690571203507,0.604690571203507
6,74,0.4362901887143353,0.0,127.48473683506988,0.5,0.0,0.0,0.158115244644187,0.0877192982456141,0.0,36.42421052430568,233.01,269.4342105243056,0.0,0.1,47.5136310155782,47.5136310155782,0.4550968074615305,0.4550968074615305,1.0570873701083736,1.0570873701083736
6,75,0.4384075707781151,0.0,118.99349824447822,0.5,0.0,0.0,0.1671930672865849,0.0877192982456141,0.0,33.99814235556521,233.01,267.0081423555652,0.0,0.1,50.24151671961879,50.24151671961879,0.4297925747177521,0.4297925747177521,0.9866790899210464,0.9866790899210464
6,76,0.4358135128422057,0.0,125.12435514161533,0.5,0.0,0.0,0.1585102873962924,0.0877192982456141,0.0,35.74981575474723,233.01,268.7598157547472,0.0,0.1,47.63234136258588,47.63234136258588,0.4487078569876985,0.4487078569876985,1.0375153826004586,1.0375153826004586
6,77,0.4405921829568088,0.0,119.2521894036734,0.5,0.0,0.0,0.1714102509407782,0.0877192982456141,0.0,34.07205411533526,233.01,267.0820541153352,0.0,0.1,51.508780407703874,51.508780407703874,0.4305544950345602,0.4305544950345602,0.9888241244085688,0.988824124408569
6,78,0.4377288221650988,0.0,127.99134899744271,0.5,0.0,0.0,0.1607004336924526,0.0877192982456141,0.0,36.56895685641221,233.01,269.57895685641216,0.0,0.1,48.29048032458202,48.29048032458202,0.4576374601191856,0.4576374601191856,1.0612881343071534,1.0612881343071534
6,79,0.4365019058846365,0.0,120.75389158257396,0.5,0.0,0.0,0.1623806109056683,0.0877192982456141,0.0,34.501111880735415,233.01,267.51111188073537,0.0,0.1,48.795373577153335,48.795373577153335,0.4352883502686934,0.4352883502686934,1.0012760496067492,1.0012760496067492
6,80,0.4383407427437075,0.0,121.86220362366632,0.5,0.0,0.0,0.1654219221462314,0.0877192982456141,0.0,34.81777246390467,233.01,267.82777246390464,0.0,0.1,49.70928760494255,49.70928760494255,0.4385897704214165,0.4385897704214165,1.010466033363734,1.0104660333637343
6,81,0.4374960231421824,0.0,123.93393943056856,0.5,0.0,0.0,0.1625515043284833,0.0877192982456141,0.0,35.409696980162444,233.01,268.4196969801624,0.0,0.1,48.84672705070925,48.84672705070925,0.4450608244075337,0.4450608244075336,1.02764460556027,1.02764460556027
6,82,0.4346318104013753,0.0,121.9929844556724,0.5,0.0,0.0,0.1579368106690406,0.0877192982456141,0.0,34.8551384159064,233.01,267.8651384159064,0.0,0.1,47.46001160604673,47.46001160604673,0.4390618858433825,0.4390618858433824,1.011550451539572,1.0115504515395717
6,83,0.4324996005410522,0.0,118.848022269269,0.5,0.0,0.0,0.1554719770314052,0.0877192982456141,0.0,33.956577791219715,233.01,266.96657779121966,0.0,0.1,46.71932909793729,46.71932909793729,0.429232234974905,0.429232234974905,0.9854728214698923,0.985472821469892
7,84,0.4681202895582095,0.0,118.848022269269,0.5,-0.0,-0.0,0.2266421848578937,0.087719298245614,0.0,33.956577791219715,233.01,266.96657779121966,0.0,0.1,46.71932909793729,46.71932909793729,0.429232234974905,0.429232234974905,0.9854728214698923,0.985472821469892
7,85,0.4683125713188369,0.0,117.15404454933802,0.5000003890689271,9.020179832675244e-05,9.020252518151513e-05,0.2279797168073957,0.0877261240162656,0.0,33.47258415695372,233.0100674467909,266.48265160374467,3.5046794063690035e-05,0.0999999638703754,68.50787861850016,68.5078786194693,0.4239072013783422,0.4239072013783422,0.9714619694926738,0.9714619694926738
